ID,CONSTITUENCY,MP,APPPELLANT NAME,DATE OF BIRTH,RACE,DWELLING TYPE,NRIC,CONTACT,SUBMITTED DATE,OUTCOME DATE,GOVERNMENT AGENCY NAME,PRIVATE ORGANISATION NAME,APPEAL CATEGORY,APPEAL STATUS,REASON FOR APPEAL,APPEAL OUTCOME,OUTCOME REMARKS,SUPPORTING DOCUMENTS FROM MP,URGENT,REAPPEAL,FOLLOW UP
2406251005,East Coast GRC - Bedok,Heng Swee Keat,CHAN KWOK HO,13-Nov-58,Chinese,HDB 1 Room,S1311502H,98550843,26-Jun-24,6-Jul-24,Housing & Development Board (HDB),,Nuisance,Appeal Closed,"Mr Chan is reappealing for assistance with regard to the continuous noise disturbances from the unit above his unit. 

Mr Chan, aged 66 years old, works at a food stall at Bedok Central.  He leaves home at 7:30am and returns at 8pm. He has his off day on Thursday.  His 12 hours workdays leaves him exhausted and he needs the rest to recuperate.  His upstairs neighbours constant dragging and banging of furniture, throughout the night and into the wee hours kept him awake. Mr Chan had approached Bedok police for assistance but till to day, the noise continues.

HDB, Ms Rachel Choo in her letter dated 25July, 2023, had advised him to approach CMC for mediation with his neighbour.  Mr Chan is unable to do so as he claimed his neighbour is unruly and had verbally abused him at his gate.

Can a Chinese speaking CMC officer, reached out to Mr Chan at 98550843 to assist him on the matter.",Others,"Noise disturbance case and advised CMC for mediation if situation does - not improve

Following feedback on noise disturbance from the neighbour, we have advised the
upper floor neighbour to place rubber pads underneath the furniture legs or
place carpets on the floor. We have also reminded the neighbour to lower the
volume of electronic devices to minimise noise level which may cause disturbance
to other neighbours. Should the situation show no improvement, the appellant can
approach CMC to resolve the issue amicably. For MP's information please.",N,Y,N,
2406250996,East Coast GRC - Bedok,Heng Swee Keat,SYED ABDUL AZIZ BIN SYED HAMID,5-Jun-79,Malay,HDB 2 Room,S7018229G,82891744,26-Jun-24,26-Jun-24,Central Provident Fund Board (CPF),,MediShield Life / Integrated Plan,Appeal Sent,"Mr Syed is appealing for assistance with his request to pay his MediShield Life premiums via monthly instalment. 

Mr Syed had previously had his bank account frozen due to being unable to pay his MediShield Life premiums. He is unable to use his CPF to pay for the premiums as his CPF is depleted. Upon the release of his bank account, he was informed that his account may be frozen again if the remaining premiums remain unpaid. 

In that same email, IRAS also informed Mr Syed that he may contact the CPF Board directly to request to pay his MediShield Life premiums via monthly instalment, however no contact information was provided to him. 

Mr Syed is requesting for assistance in setting up a contact to help him sort out the financing situation for his MediShield Life premiums. 

Additionally, kindly understand that Mr Syed is not well to do and hence might not be able to pay the premiums immediately. With that in mind, please do not seek to freeze his bank account in the event he does not pay the premium immediately. 

Kindly assist him in sorting out the financing of his MediShield Life premiums and contact him via email azizhayabusa@hotmail.com . Do keep us informed of his situation.",Pending,,N,Y,N,
2406110703,East Coast GRC - Bedok,Heng Swee Keat,MOHAMAD SHOMAY BIN HASAN,16-Aug-60,Malay,HDB 1 Room,S1410439I,91574560,13-Jun-24,3-Jul-24,Housing & Development Board (HDB),,Tenancy Matters (Rental Flats only),Appeal Closed,"Mr Hasan had previously submitted an appeal through us for the continued stay in his current rental unit. According to him, HDB wanted him to vacate this flat by end May 2024 and hand over the keys. He is a divorcee staying in this flat with his elder brother. 

He claims that he had been successful in obtaining a 2-room flexi flat under the BTO Scheme but it will only be ready in a few years' time. His request to extend his stay in this rental flat has met with no response from HDB and hence, he would like HDB to expedite a response to his appeal as he is getting very agitated and anxious with the slow response from HDB on his request.

He has an appointment with the HDB Rental Housing Department on 13th June, ID no. 1206671QA. He hopes for a positive response to his appeal.

Please aasist him accordingly.",Rejected,"Dear Mr Heng, the appellant, Mr Mohamad Shomay has appealed to take over the
tenancy of his late brother, Mr Kusot Bin Hassan's rental flat at Blk 12 Bedok
South Ave 2 together with his another brother, Mr Nasran Bin Hassan under the
Joint Singles Scheme. HDB is unable to accede to Mr Mohamad Shomay's appeal as
he and his brother are not listed as occupants of the rental flat. They continue
to reside in the flat despite our repeated advice. In our previous reply on 18
Jun 2024, we have given him a final extension to return the flat to HDB by 15
Jul 2024. If he fails to do so, we will proceed to take action to recover the
flat. The above is for your information, please.",N,Y,N,
2406110697,East Coast GRC - Bedok,Heng Swee Keat,NEO TSU LUAN,18-Jun-46,Chinese,HDB 3 Room,S0092157B,81285281,13-Jun-24,28-Jun-24,Ministry of Law (MLAW),,Others,Appeal Closed,"Mdm Neo has a lawyer named “Kang Kim Yang” from Templars Law LLC. 

She claims that the lawyer has suggested that she invest some of the money she and her brother have inherited from their deceased mother's estate for higher returns. The lawyer apparently told her that this was the advice from 'the judge'.

Mdm Neo was also given a photo of her Grant of Probate, and the handling of the deceased's estate was accorded to Mr Kang. She has also been asked to sign on Mr Kang’s mobile even though she understands vaguely that it was an affidavit. 

Mdm Neo would like to find out more on the code of professional legal conduct that if a lawyer could 

1) suggest a client to invest money based on what the judge has commented as above.
2) what the contents in the affidavit were which she had signed on Mr Kang’s mobile and why no legal hardcopy was sent to her after the signatory was done.

Mdm Neo hopes to find some answers to her queries as she is rather anxious to know the authenticity of the advice she has received from the lawyer and whether what she has signed on the lawyer's phone was legal binding.

Please assist to advise her accordingly.",Others,"Please refer to the remarks - Dear Mr Heng 
We replied to the appellant via post on 28 Jun 2024. We have explained that if she is of the view that her lawyer has failed to provide her with adequate professional service, or that he/she had committed any misconduct that is unacceptable by the legal profession, she may consider filing a complaint to the Law Society. Thank you.
Best regards
Shahidah Tay (Ms)
On behalf of Quality Service Manager
Ministry of Law",N,Y,N,
2406110670,East Coast GRC - Bedok,Heng Swee Keat,GAYATHIRI D/O THEVADASS,3-Apr-94,Indian,HDB 2 Room,S9412795E,88921740,13-Jun-24,13-Jun-24,Housing & Development Board (HDB),,Estate Renewal / Flat Maintenance Matters,Appeal Sent,"My constituent, Ms Gayathri D/O Thevadass had sought my assistance for the new installed rubbish chute. HDB Bedok branch had arranged the contractor to install a new rubbish chute recently but she has difficulty opening and closing it.

Ms Gayathri had brought up this matter to Ms Bi Xia and Ms Sok Ying from HDB Bedok on 13 May 2024 but no further update till now. Ms Gayathri just had a surgery and is suffering from pain each time when she throws the rubbish down the chute. Therefore, she would appreciate HDB Bedok could get the contractor to fix the issue urgently.

Please look into her request and reply to her via email gthevadass@gmail.com with a copy to me.

Thank you.",Pending,,N,Y,N,
2406110668,East Coast GRC - Bedok,Heng Swee Keat,GAYATHIRI D/O THEVADASS,3-Apr-94,Indian,HDB 2 Room,S9412795E,88921740,13-Jun-24,13-Jun-24,Ministry of Social and Family Development Social Service Office @ Bedok (SSO-BK),,Financial Assistance (eg: employment assistance),Appeal Sent,"My constituent, Ms Gayathiri D/O Thevadass had sought my assistance for her outstanding utility bills from SP group.

Ms Gayathiri is divorced with a son, 11 years old studying at Bedok Green Primary School and a daughter, 6 years old studying at PCF. 

Ms Gayathiri is currently unemployed due to her surgery and resting at home now. Ms Evelyn Chia is her case worker and SSO has been providing financial support for her monthly utility bills. But she just received a Electricity Top-Up card from SP and requires her to top up credit which she is running out of cash now. Therefore, Ms Gayathiri would appreciate SSO and SP could provide more support for her outstanding bills. She is willing to pay by instalments provided she has a job in the future. Currently, she is financially not able to  pay for her bills.

Please consider her request and respond to her directly via email at gthevadass@gmail.com with a copy to me.

Thank you.",Pending,,N,Y,N,
2406110668,East Coast GRC - Bedok,Heng Swee Keat,GAYATHIRI D/O THEVADASS,3-Apr-94,Indian,HDB 2 Room,S9412795E,88921740,13-Jun-24,13-Jun-24,Energy Market Authority (EMA),,Others,Appeal Closed,"My constituent, Ms Gayathiri D/O Thevadass had sought my assistance for her outstanding utility bills from SP group.

Ms Gayathiri is divorced with a son, 11 years old studying at Bedok Green Primary School and a daughter, 6 years old studying at PCF. 

Ms Gayathiri is currently unemployed due to her surgery and resting at home now. Ms Evelyn Chia is her case worker and SSO has been providing financial support for her monthly utility bills. But she just received a Electricity Top-Up card from SP and requires her to top up credit which she is running out of cash now. Therefore, Ms Gayathiri would appreciate SSO and SP could provide more support for her outstanding bills. She is willing to pay by instalments provided she has a job in the future. Currently, she is financially not able to  pay for her bills.

Please consider her request and respond to her directly via email at gthevadass@gmail.com with a copy to me.

Thank you.",Others,Refer to Singapore Power (SP) - Singapore Power (SP) will be reviewing the appeal. We have informed the appellant about the referral on 13 June 2024. Please see attached copy of reply to appellant for your reference.,N,Y,N,
2406110510,East Coast GRC - Bedok,Heng Swee Keat,MUHAMMAD ASYRAF BIN RAHMAT,3-Sep-96,Malay,HDB 4 Room,S9631185J,82985430,11-Jun-24,11-Jun-24,Housing & Development Board (HDB),,Sales Matters,Appeal Sent,"My constituent, Mr Asyraf, is appealing to expedite the HFE approval process, which was submitted 10th June, ref no. 24135487X. 

He had a previous HFE approval on 3 June 2024, but mentioned that there was a miscommunication on the family nucleus and had to redo the application to include his wife as the applicant and his mother as an occupier. 

The reason for the request is that his wife, Ms Fatin Athirah Binti Osman, S9682733D, is currently 6 months pregnant and they are living together with his family, totalling six people in a four-room flat. 

He shared that they often have to take turns to sleep in the living room but as the pregnancy moves further along, his wife is having trouble sleeping. 

Please consider his appeal on compassionate grounds. 

Do contact him via email asyrafrahmat93@gmail.com regarding the outcome with a copy to me. 

Thank you",Pending,,N,Y,N,
2406251008,East Coast GRC - Bedok,Heng Swee Keat,SHARON DE SILVA,23-May-93,Others,HDB 2 Room,S9317809B,88195868,26-Jun-24,26-Jun-24,,East Coast Town Council,,Appeal Sent,"Request for Waiver of Conservancy Charges and Payment Plan for Ms. Sharon De Silva 

I am writing on behalf of Ms. Sharon De Silva, who currently resides in a rental flat under your jurisdiction, to request a waiver of part of the conservancy and service charges and to propose a payment plan for the remaining balance.

Ms. De Silva has been facing a series of financial and health challenges which have significantly impacted her ability to meet her financial obligations. She is the primary caregiver for her three young children, aged 9, 7, and almost 4, and manages her health issues, including a heart condition that necessitates regular medical attention and hospital visits. These circumstances have strained her financial resources, further exacerbated by her husband's fluctuating employment - who earns around $2,000 per month as the family's sole breadwinner and who also supports his family members in Malaysia.

Ms. De Silva has demonstrated her intention to resolve her debts by paying half of the outstanding amount, $565.50, to avoid legal proceedings. She proposes to settle the remaining balance through manageable instalments. Given her circumstances, including her limited income and substantial family and health responsibilities, we kindly request that the Town Council consider withdrawing any ongoing charges against her based on this proposal.

Please consider Ms. De Silva's request sympathetically and contact her directly to discuss a feasible payment plan. Your understanding and cooperation in this matter would greatly alleviate the pressures she is facing and contribute positively to her efforts to provide a stable environment for her family.

Thank you for considering this request. We look forward to your favourable response.",Pending,,N,N,N,
2406251006,East Coast GRC - Kampong Chai Chee,Heng Swee Keat,QI YONGDAN,1-May-81,Chinese,HDB 4 Room,S8169146J,96659066,26-Jun-24,26-Jun-24,,Changi General Hospital (CGH),,Appeal Sent,"Request for Waiver of Ambulance Transport Fee

The above constituent, Mdm Qi Yongdan, would like to appeal for a waiver of her $150 transport fee.

Mdm Qi is a victim of domestic abuse and on 22 May 2024, she went to Changi General Hospital as she was strangled and hit by her husband. At the hospital, she was in shock and distraught and the doctor arranged for her to be sent to IMH in an ambulance. However, she was shocked when she received the bill for transport from Changi to IMH for $150. 

Mdm Qi is in the midst of a divorce and has a huge financial burden placed on her. She has taken up a new role as an interior designer in the past 3 months but has no basic salary and has not yet been paid. Previously, she was unemployed. She hopes that CGH will be able to waive her ambulance transportation fees as she was not aware that it was chargeable to her and did not expect to be charged such a high amount.

Please consider Mdm Qi's appeal and reply to her directly.",Pending,,N,N,N,
